"TABLE_NAME","COLUMN_NAME"
"agenda","id_agenda"
"agenda","id_sucursal"
"agenda","gastos_totales"
"agenda","ingreso_total"
"agenda","cant_interesadas"
"agenda","cant_inscritas"
"agenda","variacion"
"agenda","ubicacion"
"agenda","hora_fin"
"agenda","hora_inicio"
"agenda","fecha"
"agenda","id_taller"
"agenda_cursos","cant_inscritas"
"agenda_cursos","cant_interesadas"
"agenda_cursos","ingreso_total"
"agenda_cursos","gastos_totales"
"agenda_cursos","id_sucursal"
"agenda_cursos","variacion"
"agenda_cursos","ubicacion"
"agenda_cursos","id_agenda_curso"
"agenda_cursos","id_curso"
"agenda_cursos","fecha"
"agenda_cursos","hora_inicio"
"agenda_cursos","hora_fin"
"alumnas","estatus"
"alumnas","imagen"
"alumnas","tipo_descuento"
"alumnas","descuento_aplicado"
"alumnas","direccion"
"alumnas","correo"
"alumnas","telefono"
"alumnas","amat"
"alumnas","apat"
"alumnas","nombre"
"alumnas","id_alumna"
"clientes","estatus"
"clientes","direccion"
"clientes","telefono"
"clientes","correo"
"clientes","amat"
"clientes","apat"
"clientes","nombre"
"clientes","id_cliente"
"cursos","id_sucursal"
"cursos","gastos_totales"
"cursos","ingreso_total"
"cursos","precio_preferencial"
"cursos","gastos"
"cursos","ingreso_bruto"
"cursos","status"
"cursos","costo_base"
"cursos","id_maestra"
"cursos","nombre"
"cursos","id_curso"
"descuentos","id_alumna"
"descuentos","porcentaje"
"descuentos","tipo_descuento"
"descuentos","id_descuento"
"detalle_venta","id_sucursal"
"detalle_venta","subtotal"
"detalle_venta","precio_unitario"
"detalle_venta","cantidad"
"detalle_venta","id_kit"
"detalle_venta","id_producto"
"detalle_venta","idVenta"
"detalle_venta","idDetalle"
"egresos","fecha"
"egresos","id_sucursal"
"egresos","monto"
"egresos","concepto"
"egresos","id_agenda_curso"
"egresos","id_agenda"
"egresos","id_egreso"
"historial_pagos","comprobante"
"historial_pagos","concepto"
"historial_pagos","metodo_pago"
"historial_pagos","fecha_pago"
"historial_pagos","saldo_pendiente"
"historial_pagos","monto_pagado"
"historial_pagos","id_intermedia"
"historial_pagos","idVenta"
"historial_pagos","id_pago"
"institutos","id_instituto"
"institutos","nombre"
"interesadas","id_agenda_curso"
"interesadas","id_agenda"
"interesadas","id_alumna"
"interesadas","id_interesada"
"intermedia_a","id_sucursal"
"intermedia_a","total"
"intermedia_a","estado"
"intermedia_a","fecha"
"intermedia_a","id_agenda_curso"
"intermedia_a","id_agenda"
"intermedia_a","id_alumna"
"intermedia_a","id_intermedia"
"inventario","cantidad_actual"
"inventario","id_producto"
"inventario","id_instituto"
"inventario","id_inventario"
"inventario_stock","fecha"
"inventario_stock","motivo"
"inventario_stock","cantidad"
"inventario_stock","movimiento"
"inventario_stock","id_producto"
"inventario_stock","id_instituto"
"inventario_stock","id"
"kits_productos","Activo"
"kits_productos","Stock"
"kits_productos","precio_unitario"
"kits_productos","nombre"
"kits_productos","id_kit"
"maestras","estatus"
"maestras","porcentaje_ganancia"
"maestras","gastos"
"maestras","acuerdo"
"maestras","base"
"maestras","nombre"
"maestras","id_maestra"
"maestras_asignadas","id_agenda_curso"
"maestras_asignadas","id_agenda"
"maestras_asignadas","id_maestra"
"maestras_asignadas","id_asignacion"
"modulos","created_at"
"modulos","status"
"modulos","hora_fin"
"modulos","hora_inicio"
"modulos","fecha"
"modulos","descripcion"
"modulos","nombre"
"modulos","id_curso"
"modulos","id_modulo"
"productos","Activo"
"productos","imagen"
"productos","Stock"
"productos","precio_unitario"
"productos","nombre"
"productos","id_producto"
"productos_kits","id_kit"
"productos_kits","id_producto"
"productos_kits","cantidad"
"sucursales","codigo_postal"
"sucursales","telefono"
"sucursales","correo_electronico"
"sucursales","fecha_apertura"
"sucursales","estado_sucursal"
"sucursales","estado"
"sucursales","ciudad"
"sucursales","id_sucursal"
"sucursales","nombre_sucursal"
"sucursales","calle"
"sucursales","numero"
"sucursales","colonia"
"talleres","id_sucursal"
"talleres","gastos_totales"
"talleres","ingreso_total"
"talleres","precio_preferencial"
"talleres","porcentaje_caro"
"talleres","porcentaje_delia"
"talleres","status"
"talleres","costo_base"
"talleres","id_maestra"
"talleres","nombre"
"talleres","id_taller"
"usuarios","Cargo"
"usuarios","Pass"
"usuarios","User"
"usuarios","Correo"
"usuarios","Amat"
"usuarios","Apat"
"usuarios","Nombre"
"usuarios","Id_Usuario"
"venta","estado"
"venta","total"
"venta","id_taller"
"venta","id_cliente"
"venta","id_alumna"
"venta","comprador_tipo"
"venta","fecha"
"venta","idVenta"
"venta","id_sucursal"
